id,trade_date,user_id,server,broker_group,nfo_realized,nfo_settlement,bfo_realized,bfo_settlement,total_realized,total_settlement,net_pnl,max_loss,allocation,updated_max_loss,dte,summary_index,summary_dte,algo,input_fingerprint,updated_at
4109,2026-08-21,36985212,VS11,AVG,-9.75,1538.55,0.0,0.0,-9.75,1538.55,1528.8,225000.0,125000.0,226528.8,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4110,2026-08-21,74125896,VS11,AVG,-14.95,1502.8,0.0,0.0,-14.95,1502.8,1487.85,270000.0,150000.0,271487.85,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4111,2026-08-21,ALKAAGA0,VS11,AVG,-9.75,1535.95,0.0,0.0,-9.75,1535.95,1526.2,225000.0,125000.0,226526.2,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4112,2026-08-21,ANISHA48,VS11,AVG,-11.05,3068.0,0.0,0.0,-11.05,3068.0,3056.95,360000.0,200000.0,363056.95,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4113,2026-08-21,HUFDEVEG,VS11,AVG,-9.75,1546.35,0.0,0.0,-9.75,1546.35,1536.6,225000.0,125000.0,226536.6,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4114,2026-08-21,HUFGRAVI,VS11,AVG,-11.7,1521.65,0.0,0.0,-11.7,1521.65,1509.95,180000.0,100000.0,181509.95,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4115,2026-08-21,HUFJAIND,VS11,AVG,-9.75,1530.75,0.0,0.0,-9.75,1530.75,1521.0,225000.0,125000.0,226521.0,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4116,2026-08-21,HUFRG999,VS11,AVG,-9.75,1548.3,0.0,0.0,-9.75,1548.3,1538.55,315000.0,175000.0,316538.55,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4117,2026-08-21,LAMBAANU,VS11,AVG,-14.3,1499.55,0.0,0.0,-14.3,1499.55,1485.25,180000.0,100000.0,181485.25,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4118,2026-08-21,MDEEPESK,VS11,AVG,-11.05,3058.9,0.0,0.0,-11.05,3058.9,3047.85,405000.0,225000.0,408047.85,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4119,2026-08-21,MDHRUM03,VS11,AVG,-9.75,1534.0,0.0,0.0,-9.75,1534.0,1524.25,225000.0,125000.0,226524.25,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4120,2026-08-21,MINA1425,VS11,AVG,-9.75,1554.8,0.0,0.0,-9.75,1554.8,1545.05,180000.0,100000.0,181545.05,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4121,2026-08-21,MPRASHAN,VS11,AVG,-9.75,1521.0,0.0,0.0,-9.75,1521.0,1511.25,225000.0,125000.0,226511.25,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4122,2026-08-21,MRAKESHS,VS11,AVG,-9.75,1556.1,0.0,0.0,-9.75,1556.1,1546.35,315000.0,175000.0,316546.35,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4123,2026-08-21,MSDAGA01,VS11,AVG,-11.05,3051.1,0.0,0.0,-11.05,3051.1,3040.05,360000.0,200000.0,363040.05,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4124,2026-08-21,NAVN8000,VS11,AVG,-14.95,1514.5,0.0,0.0,-14.95,1514.5,1499.55,315000.0,175000.0,316499.55,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4125,2026-08-21,NEHAGOE4,VS11,AVG,-14.3,1509.95,0.0,0.0,-14.3,1509.95,1495.65,270000.0,150000.0,271495.65,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4126,2026-08-21,NEHAWARI,VS11,AVG,-11.7,1518.4,0.0,0.0,-11.7,1518.4,1506.7,180000.0,100000.0,181506.7,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4127,2026-08-21,NILI1953,VS11,AVG,-9.75,1530.75,0.0,0.0,-9.75,1530.75,1521.0,315000.0,175000.0,316521.0,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4128,2026-08-21,PSANGHIC,VS11,AVG,-11.05,3066.7,0.0,0.0,-11.05,3066.7,3055.65,495000.0,275000.0,498055.65,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4129,2026-08-21,SHRUTI43,VS11,AVG,-14.3,1522.3,0.0,0.0,-14.3,1522.3,1508.0,225000.0,125000.0,226508.0,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4130,2026-08-21,VEDANGI2,VS11,AVG,-14.3,1509.3,0.0,0.0,-14.3,1509.3,1495.0,270000.0,150000.0,271495.0,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4131,2026-08-21,VIDHID00,VS11,AVG,-9.75,1527.5,0.0,0.0,-9.75,1527.5,1517.75,225000.0,125000.0,226517.75,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
